"Item Type","Brand/Manufacture","Vendor","SKU","UPC","Case Barcode","Unit Description","Fullname","Pick Name","Unit Weight(lbs)","Length(in)","Width(in)","Height(in)","Item Description","Additional Description"
"Frozen","Buon! Per Te","Buon! Per Te","ETFZ-1000-3022","850004811092","","Each","Buon! Per Te Salted Caramel Ice Cream, 14 oz. Pint (1-1 Each)","Buon! Per Te Salted Caramel Ice Cream, 14 oz. Pint (1-1 Each)","0.62","3.84","3.84","4","Buon! Per Te Salted Caramel Ice Cream, 1","4 oz. Pint (1-1 Each)"
"Frozen","Buon! Per Te","Buon! Per Te","ETFZ-1000-3024","850004811009","","Each","Buon! Per Te Madagascar Vanilla Ice Cream, 14 oz. Pint (1-1 Each)","Buon! Per Te Madagascar Vanilla Ice Cream, 14 oz. Pint (1-1 Each)","0.58","3.84","3.84","4","Buon! Per Te Madagascar Vanilla Ice Crea","m, 14 oz. Pint (1-1 Each)"
"Frozen","Otis Spunkmeyer","DOT","ETFZ-1000-3026","013087588313","","Each","","","21.25","16.375","10.375","7.938","",""
"Frozen","Azar","DOT","ETFZ-1000-3027","076500710756","","Each","","","31","18.25","12.125","8","",""
"Frozen","Fernando's","DOT","ETFZ-1000-3028","075278062036","","Each","","","19.6","18.812","11.188","5.5","",""
"Frozen","Pierre","DOT","ETFZ-1000-3029","071421012309","","Each","","","4.91","12.938","9.562","5.875","",""
"Frozen","Hot 'n' Ready","DOT","ETFZ-1000-3030","071421009941","","Each","","","5.616","13.312","10","6.875","",""
"Frozen","Sweet Street","DOT","ETFZ-1000-3031","749017002146","","Each","","","12.62","13.62","9.56","8.56","",""
"Frozen","Best Maid","DOT","ETFZ-1000-3032","086478718491","","Each","","","13","17.188","12.938","6.25","",""
"Frozen","Best Maid","DOT","ETFZ-1000-3033","086478714366","","Each","","","14.5","17.188","12.938","6.25","",""
"Frozen","Best Maid","DOT","ETFZ-1000-3034","086478714205","","Each","","","13","17.188","12.938","6.25","",""
"Frozen","Best Maid","DOT","ETFZ-1000-3035","086478714175","","Each","","","6.2","13.188","8.938","6.625","",""
"Frozen","Best Maid","DOT","ETFZ-1000-3036","086478714304","","Each","","","18","17.188","12.938","6.25","",""
"Frozen","Best Maid","DOT","ETFZ-1000-3037","086478714281","","Each","","","9.15","13.188","8.938","6.625","",""
