"Item Type","Brand/Manufacture","Vendor","SKU","UPC","Case Barcode","Unit Description","Fullname","Pick Name","Unit Weight(lbs)","Length(in)","Width(in)","Height(in)","Item Description","Additional Description"
"Frozen","Nick's","Nick's Ice Cream","ETFZ-1000-6165","","","Each","Nick's Birthdäg Cake Variety Pack (6 Kit)","Nick's Birthdäg Cake Variety Pack (6 Kit)","6","12.5","9.75","4.25","Nick's Birthdäg Cake Variety Pack (6 Ki","t)"
"Frozen","Nick's","Nick's Ice Cream","ETFZ-1000-6167","","","Each","Nick's Butter Pekan Variety Pack (6 Kit)","Nick's Butter Pekan Variety Pack (6 Kit)","6","12.5","9.75","4.25","Nick's Butter Pekan Variety Pack (6 Kit)",""
"Frozen","Nick's","Nick's Ice Cream","ETFZ-1000-6168","","","Each","Nick's Cherry Choka-fläka Variety Pack (6 Kit)","Nick's Cherry Choka-fläka Variety Pack (6 Kit)","6","12.5","9.75","4.25","Nick's Cherry Choka-fläka Variety Pack ","(6 Kit)"
"Frozen","Nick's","Nick's Ice Cream","ETFZ-1000-6169","","","Each","Nick's Coffee Karamell Variety Pack (6 Kit)","Nick's Coffee Karamell Variety Pack (6 Kit)","6","12.5","9.75","4.25","Nick's Coffee Karamell Variety Pack (6 K","it)"
"Frozen","Nick's","Nick's Ice Cream","ETFZ-1000-6170","","","Each","Nick's Cookies And Kräm Variety Pack (6 Kit)","Nick's Cookies And Kräm Variety Pack (6 Kit)","5","12.5","9.75","4.25","Nick's Cookies And Kräm Variety Pack (6"," Kit)"
"Frozen","Nick's","Nick's Ice Cream","ETFZ-1000-6171","","","Each","Nick's Mint Chokladchip Variety Pack (6 Kit)","Nick's Mint Chokladchip Variety Pack (6 Kit)","6","12.5","9.75","4.25","Nick's Mint Chokladchip Variety Pack (6 ","Kit)"
"Frozen","Nick's","Nick's Ice Cream","ETFZ-1000-6173","","","Each","Nick's Peanöt Choklad Cup Variety Pack (6 Kit)","Nick's Peanöt Choklad Cup Variety Pack (6 Kit)","6","12.5","9.75","4.25","Nick's Peanöt Choklad Cup Variety Pack ","(6 Kit)"
"Frozen","Nick's","Nick's Ice Cream","ETFZ-1000-6174","","","Each","Nick's Peanöt Butter Karamell Variety Pack (6 Kit)","Nick's Peanöt Butter Karamell Variety Pack (6 Kit)","6","12.5","9.75","4.25","Nick's Peanöt Butter Karamell Variety P","ack (6 Kit)"
"Frozen","Nick's","Nick's Ice Cream","ETFZ-1000-6175","","","Each","Nick's Strawbär Swirl Variety Pack (6 Kit)","Nick's Strawbär Swirl Variety Pack (6 Kit)","6","12.5","9.75","4.25","Nick's Strawbär Swirl Variety Pack (6 K","it)"
"Frozen","Nick's","Nick's Ice Cream","ETFZ-1000-6176","","","Each","Nick's Swedish Choklad Variety Pack (6 Kit)","Nick's Swedish Choklad Variety Pack (6 Kit)","6","12.5","9.75","4.25","Nick's Swedish Choklad Variety Pack (6 K","it)"
"Frozen","Nick's","Nick's Ice Cream","ETFZ-1000-6177","","","Each","Nick's Chokladchip Dough Variety Pack (6 Kit)","Nick's Chokladchip Dough Variety Pack (6 Kit)","6","12.5","9.75","4.25","Nick's Chokladchip Dough Variety Pack (6"," Kit)"
"Frozen","Nick's","Nick's Ice Cream","ETFZ-1000-6178","","","Each","Nick's Swedish Lemon Bar Variety Pack (6 Kit)","Nick's Swedish Lemon Bar Variety Pack (6 Kit)","6","12.5","9.75","4.25","Nick's Swedish Lemon Bar Variety Pack (6"," Kit)"
"Frozen","Nick's","Nick's Ice Cream","ETFZ-1000-6179","","","Each","Nick's Swedish Pistasch Variety Pack (6 Kit)","Nick's Swedish Pistasch Variety Pack (6 Kit)","6","12.5","9.75","4.25","Nick's Swedish Pistasch Variety Pack (6 ","Kit)"
"Frozen","Nick's","Nick's Ice Cream","ETFZ-1000-6180","","","Each","Nick's Swedish Vanilj Variety Pack (6 Kit)","Nick's Swedish Vanilj Variety Pack (6 Kit)","6","12.5","9.75","4.25","Nick's Swedish Vanilj Variety Pack (6 Ki","t)"
"Frozen","Nick's","Nick's Ice Cream","ETFZ-1000-6182","","","Each","Nick's Triple Choklad Variety Pack (6 Kit)","Nick's Triple Choklad Variety Pack (6 Kit)","6","12.5","9.75","4.25","Nick's Triple Choklad Variety Pack (6 Ki","t)"
"Frozen","Nick's","Nick's Ice Cream","ETFZ-1000-6187","","","Each","Nick's Sälta Karamell Variety Pack (6 Kit)","Nick's Sälta Karamell Variety Pack (6 Kit)","6","12.5","9.75","4.25","Nick's Sälta Karamell Variety Pack (6 K","it)"
"Dry","Mr. Goodbar","Hershey","ETDP-1000-6241","985854654126","","Each","Mr. Goodbar Chocolate Candy with Peanuts Candy Bar, 2.6 oz. Box (1-18 Each)","Mr. Goodbar Chocolate Candy with Peanuts Candy Bar, 2.6 oz. Box (1-18 Each)","99","99","99","99","Mr. Goodbar Chocolate Candy with Peanuts"," Candy Bar, 2.6 oz. Box (1-18 Each)"
"Frozen","Ben & Jerry's","DOT","ETFZ-1000-6243","992162514545","","Each","Ben & Jerry's Gimme S'more! Ice Cream, 16 oz. Pint (1-1 Each)","Ben & Jerry's Gimme S'more! Ice Cream, 16 oz. Pint (1-1 Each)","99","99","99","99","Ben & Jerry's Gimme S'more! Ice Cream, 1","6 oz. Pint (1-1 Each)"
"Frozen","Ben & Jerry's","Unilever","ETFZ-1000-6231","007684000073","","Each","Ben & Jerry's Chocolate Shake It Truffles Ice Cream, 1 pt. Pint (1-8 Each)","Ben & Jerry's Chocolate Shake It Truffles Ice Cream, 1 pt. Pint (1-8 Each)","8","16","8","4","Ben & Jerry's Chocolate Shake It Truffle","s Ice Cream, 1 pt. Pint (1-8 Each)"
"Frozen","Van Leeuwen Ice Cream","Van Leeuwen Ice Cream","ETFZ-1000-6256","850005872013","","Each","Van Leeuwen Ice Cream Black Cherry Chip Ice Cream, 14 oz. Pint (1-8 Case)","Van Leeuwen Ice Cream Black Cherry Chip Ice Cream, 14 oz. Pint (1-8 Case)","7.4","16","8","4","Van Leeuwen Ice Cream Black Cherry Chip ","Ice Cream, 14 oz. Pint (1-8 Case)"
"Frozen","Van Leeuwen Ice Cream","Van Leeuwen Ice Cream","ETFZ-1000-6258","850005872563","","Each","Van Leeuwen Ice Cream Raspberry Layer Cake Ice Cream, 14 oz. Pint (1-8 Case)","Van Leeuwen Ice Cream Raspberry Layer Cake Ice Cream, 14 oz. Pint (1-8 Case)","7.4","16","8","4","Van Leeuwen Ice Cream Raspberry Layer Ca","ke Ice Cream, 14 oz. Pint (1-8 Case)"
"Frozen","Van Leeuwen Ice Cream","Van Leeuwen Ice Cream","ETFZ-1000-6259","850005872016","","Each","Van Leeuwen Ice Cream Black Cherry Chip Ice Cream, 14 oz. Pint (1-1 Each)","Van Leeuwen Ice Cream Black Cherry Chip Ice Cream, 14 oz. Pint (1-1 Each)","0.875","3.8","3.8","4","Van Leeuwen Ice Cream Black Cherry Chip ","Ice Cream, 14 oz. Pint (1-1 Each)"
"Frozen","Van Leeuwen Ice Cream","Van Leeuwen Ice Cream","ETFZ-1000-6260","850005872566","","Each","Van Leeuwen Ice Cream Raspberry Layer Cake Ice Cream, 14 oz. Pint (1-1 Each)","Van Leeuwen Ice Cream Raspberry Layer Cake Ice Cream, 14 oz. Pint (1-1 Each)","0.875","3.8","3.8","4","Van Leeuwen Ice Cream Raspberry Layer Ca","ke Ice Cream, 14 oz. Pint (1-1 Each)"
