"Item Type","Brand/Manufacture","Vendor","SKU","UPC","Case Barcode","Unit Description","Fullname","Pick Name","Unit Weight(lbs)","Length(in)","Width(in)","Height(in)","Item Description","Additional Description"
"Frozen","Ample Hills","Ample Hills Holdings","ETFZ-1000-6040","926753728230","","Each","Ample Hills PB Takes a Dip Ice Cream, 14 oz. Pint (1-1 Each)","Ample Hills PB Takes a Dip Ice Cream, 14 oz. Pint (1-1 Each)","0.751","3.85","3.85","4","Ample Hills PB Takes a Dip Ice Cream, 14"," oz. Pint (1-1 Each)"
"Frozen","Ample Hills","Ample Hills Holdings","ETFZ-1000-6042","926753338682","","Each","Ample Hills Hopelessly Devoted to Moo Ice Cream, 14 oz. Pint (1-1 Each)","Ample Hills Hopelessly Devoted to Moo Ice Cream, 14 oz. Pint (1-1 Each)","0.75","3.85","3.85","4","Ample Hills Hopelessly Devoted to Moo Ic","e Cream, 14 oz. Pint (1-1 Each)"
"Frozen","Ample Hills","Ample Hills Holdings","ETFZ-1000-6044","926753672274","","Each","Ample Hills Oscar Night Ice Cream, 14 oz. Pint (1-1 Each)","Ample Hills Oscar Night Ice Cream, 14 oz. Pint (1-1 Each)","0.75","3.85","3.85","4","Ample Hills Oscar Night Ice Cream, 14 oz",". Pint (1-1 Each)"
