"Item Type","Brand/Manufacture","Vendor","SKU","UPC","Case Barcode","Unit Description","Fullname","Pick Name","Unit Weight(lbs)","Length(in)","Width(in)","Height(in)","Item Description","Additional Description"
"Frozen","CHOMP by Nightingale","Nightingale Ice Cream","ETFZ-1000-5966","108600068704","","Each","CHOMP by Nightingale Chocolate Blackout Sandwich, 12.15 oz. Box (1-7 Case)","CHOMP by Nightingale Chocolate Blackout Sandwich, 12.15 oz. Box (1-7 Case)","5.76","14.313","5.938","6.25","CHOMP by Nightingale Chocolate Blackout ","Sandwich, 12.15 oz. Box (1-7 Case)"
"Frozen","CHOMP by Nightingale","Nightingale Ice Cream","ETFZ-1000-5967","108600068704","","Each","CHOMP by Nightingale Salted Caramel Sandwich, 11.75 oz. Box (1-7 Case)","CHOMP by Nightingale Salted Caramel Sandwich, 11.75 oz. Box (1-7 Case)","5.58","14.313","5.938","6.25","CHOMP by Nightingale Salted Caramel Sand","wich, 11.75 oz. Box (1-7 Case)"
"Frozen","CHOMP by Nightingale","Nightingale Ice Cream","ETFZ-1000-5994","850037507115","","Each","CHOMP by Nightingale Chocolate Blackout Sandwich, 12.15 oz. Individually Wrapped (1-1 Each)","CHOMP by Nightingale Chocolate Blackout Sandwich, 12.15 oz. Individually Wrapped (1-1 Each)","0.675","5.25","1.88","5.25","CHOMP by Nightingale Chocolate Blackout ","Sandwich, 12.15 oz. Individually Wrapped (1-1 Each)"
"Frozen","CHOMP by Nightingale","Nightingale Ice Cream","ETFZ-1000-5969","108600068704","","Each","CHOMP by Nightingale Mint Chocolate Chip Sandwich, 11.75 oz. Box (1-7 Case)","CHOMP by Nightingale Mint Chocolate Chip Sandwich, 11.75 oz. Box (1-7 Case)","5.58","14.313","5.938","6.25","CHOMP by Nightingale Mint Chocolate Chip"," Sandwich, 11.75 oz. Box (1-7 Case)"
"Frozen","CHOMP by Nightingale","Nightingale Ice Cream","ETFZ-1000-6019","850037507108","","Each","CHOMP by Nightingale Salted Caramel Sandwich, 11.75 oz. Individually Wrapped (1-1 Each)","CHOMP by Nightingale Salted Caramel Sandwich, 11.75 oz. Individually Wrapped (1-1 Each)","0.65","5.25","1.88","5.25","CHOMP by Nightingale Salted Caramel Sand","wich, 11.75 oz. Individually Wrapped (1-1 Each)"
"Frozen","CHOMP by Nightingale","Nightingale Ice Cream","ETFZ-1000-6021","850037507092","","Each","CHOMP by Nightingale Mint Chocolate Chip Sandwich, 11.75 oz. Individually Wrapped (1-1 Each)","CHOMP by Nightingale Mint Chocolate Chip Sandwich, 11.75 oz. Individually Wrapped (1-1 Each)","0.65","5.25","1.88","5.25","CHOMP by Nightingale Mint Chocolate Chip"," Sandwich, 11.75 oz. Individually Wrapped (1-1 Each)"
"Frozen","Little Debbie","Hudsonville Creamery","ETFZ-1000-6102","850034580057","","Each","Little Debbie Strawberry Shortcake Rolls Ice Cream, 16 oz. Pint (1-8 Case)","Little Debbie Strawberry Shortcake Rolls Ice Cream, 16 oz. Pint (1-8 Case)","5.5","14","7.5","4.13","Little Debbie Strawberry Shortcake Rolls"," Ice Cream, 16 oz. Pint (1-8 Case)"
"Frozen","Little Debbie","Hudsonville Creamery","ETFZ-1000-6123","850034580071","","Each","Little Debbie Zebra Cakes Ice Cream, 16 oz. Pint (1-8 Case)","Little Debbie Zebra Cakes Ice Cream, 16 oz. Pint (1-8 Case)","5.5","14","7.5","4.13","Little Debbie Zebra Cakes Ice Cream, 16 ","oz. Pint (1-8 Case)"
"Frozen","Little Debbie","Hudsonville Creamery","ETFZ-1000-6125","850034580019","","Each","Little Debbie Cosmic Brownies Ice Cream, 16 oz. Pint (1-8 Case)","Little Debbie Cosmic Brownies Ice Cream, 16 oz. Pint (1-8 Case)","5.5","14","7.5","4.13","Little Debbie Cosmic Brownies Ice Cream,"," 16 oz. Pint (1-8 Case)"
"Frozen","Little Debbie","Hudsonville Creamery","ETFZ-1000-6126","850034580064","","Each","Little Debbie Swiss Rolls Ice Cream, 16 oz. Pint (1-8 Case)","Little Debbie Swiss Rolls Ice Cream, 16 oz. Pint (1-8 Case)","5.5","14","7.5","4.13","Little Debbie Swiss Rolls Ice Cream, 16 ","oz. Pint (1-8 Case)"
