"Item Type","Brand/Manufacture","Vendor","SKU","UPC","Case Barcode","Unit Description","Fullname","Pick Name","Unit Weight(lbs)","Length(in)","Width(in)","Height(in)","Item Description","Additional Description"
"Frozen","Ample Hills","Ample Hills Holdings","ETFZ-1000-6023","991234567890","","Each","Ample Hills Breakfast Trash Ice Cream, 14 oz. Pint (1-8 Case)","Ample Hills Breakfast Trash Ice Cream, 14 oz. Pint (1-8 Case)","6","14.5","7.5","4","Ample Hills Breakfast Trash Ice Cream, 1","4 oz. Pint (1-8 Case)"
"Frozen","Dr. Praeger's","KeHE","ETFZ-1000-6027","080868000109","","Each","Dr. Praeger's California Veggie Burger Burger, 10 oz. Box (1-6 Case)","Dr. Praeger's California Veggie Burger Burger, 10 oz. Box (1-6 Case)","4.5","15.5","6","5.5","Dr. Praeger's California Veggie Burger B","urger, 10 oz. Box (1-6 Case)"
"Frozen","Dr. Praeger's","KeHE","ETFZ-1000-6024","080868060196","","Each","Dr. Praeger's Black Bean Quinoa Veggie Burger Burger, 10 oz. Box (1-6 Case)","Dr. Praeger's Black Bean Quinoa Veggie Burger Burger, 10 oz. Box (1-6 Case)","4.5","15.5","6","5.5","Dr. Praeger's Black Bean Quinoa Veggie B","urger Burger, 10 oz. Box (1-6 Case)"
"Frozen","Dr. Praeger's","KeHE","ETFZ-1000-6028","080868000338","","Each","Dr. Praeger's All American Veggie Burger Burger, 8 oz. Box (1-6 Case)","Dr. Praeger's All American Veggie Burger Burger, 8 oz. Box (1-6 Case)","3.8","11.75","6","5.5","Dr. Praeger's All American Veggie Burger"," Burger, 8 oz. Box (1-6 Case)"
"Frozen","Dr. Praeger's","KeHE","ETFZ-1000-6029","080868029018","","Each","Dr. Praeger's Perfect Burger Burger, 8 oz. Box (1-6 Case)","Dr. Praeger's Perfect Burger Burger, 8 oz. Box (1-6 Case)","3.8","15","6","5.5","Dr. Praeger's Perfect Burger Burger, 8 o","z. Box (1-6 Case)"
"Frozen","Ample Hills","Ample Hills Holdings","ETFZ-1000-6031","926753872742","","Each","Ample Hills Breakfast Trash Ice Cream, 14 oz. Pint (1-1 Each)","Ample Hills Breakfast Trash Ice Cream, 14 oz. Pint (1-1 Each)","0.75","3.85","3.85","4","Ample Hills Breakfast Trash Ice Cream, 1","4 oz. Pint (1-1 Each)"
