"Item Type","Brand/Manufacture","Vendor","SKU","UPC","Case Barcode","Unit Description","Fullname","Pick Name","Unit Weight(lbs)","Length(in)","Width(in)","Height(in)","Item Description","Additional Description"
"Frozen","Chocolate Shoppe","Chocolate Shoppe","ETFZ-0000-0259","640994445816","","Each","Chocolate Shoppe Toasted Mallow S'moress Ice Cream, 3  Tub (1-1 Each)","Chocolate Shoppe Toasted Mallow S'moress Ice Cream, 3  Tub (1-1 Each)","999","999","999","999","Chocolate Shoppe Toasted Mallow S'moress"," Ice Cream, 3  Tub (1-1 Each)"
"Frozen","Chocolate Shoppe","Chocolate Shoppe","ETFZ-0000-0260","640994436227","","Each","Chocolate Shoppe Turtles Ice Cream, 3  Tub (1-1 Each)","Chocolate Shoppe Turtles Ice Cream, 3  Tub (1-1 Each)","999","999","999","999","Chocolate Shoppe Turtles Ice Cream, 3  T","ub (1-1 Each)"
"Frozen","Chocolate Shoppe","Chocolate Shoppe","ETFZ-0000-0261","640994424729","","Each","Chocolate Shoppe Ultimate Oreos Ice Cream, 3  Tub (1-1 Each)","Chocolate Shoppe Ultimate Oreos Ice Cream, 3  Tub (1-1 Each)","999","999","999","999","Chocolate Shoppe Ultimate Oreos Ice Crea","m, 3  Tub (1-1 Each)"
"Frozen","Chocolate Shoppe","Chocolate Shoppe","ETFZ-0000-0262","640994416649","","Each","Chocolate Shoppe Vanilla Beans Ice Cream, 3  Tub (1-1 Each)","Chocolate Shoppe Vanilla Beans Ice Cream, 3  Tub (1-1 Each)","999","999","999","999","Chocolate Shoppe Vanilla Beans Ice Cream",", 3  Tub (1-1 Each)"
"Frozen","Chocolate Shoppe","Chocolate Shoppe","ETFZ-0000-0263","640994416670","","Each","Chocolate Shoppe Vanilla Custards Ice Cream, 3  Tub (1-1 Each)","Chocolate Shoppe Vanilla Custards Ice Cream, 3  Tub (1-1 Each)","999","999","999","999","Chocolate Shoppe Vanilla Custards Ice Cr","eam, 3  Tub (1-1 Each)"
"Frozen","Chocolate Shoppe","Chocolate Shoppe","ETFZ-0000-0265","640994428796","","Each","Chocolate Shoppe Yippee Skippees Ice Cream, 3  Tub (1-1 Each)","Chocolate Shoppe Yippee Skippees Ice Cream, 3  Tub (1-1 Each)","999","999","999","999","Chocolate Shoppe Yippee Skippees Ice Cre","am, 3  Tub (1-1 Each)"
"Frozen","Chocolate Shoppe","Chocolate Shoppe","ETFZ-0000-0266","640994417851","","Each","Chocolate Shoppe Zanzibar Dark Chocolates Ice Cream, 3  Tub (1-1 Each)","Chocolate Shoppe Zanzibar Dark Chocolates Ice Cream, 3  Tub (1-1 Each)","999","999","999","999","Chocolate Shoppe Zanzibar Dark Chocolate","s Ice Cream, 3  Tub (1-1 Each)"
"Frozen","Chocolate Shoppe","Chocolate Shoppe","ETFZ-0000-0267","640994427881","","Each","Chocolate Shoppe ZOREOs Ice Cream, 3  Tub (1-1 Each)","Chocolate Shoppe ZOREOs Ice Cream, 3  Tub (1-1 Each)","999","999","999","999","Chocolate Shoppe ZOREOs Ice Cream, 3  Tu","b (1-1 Each)"
"Frozen","Haagen-Dazs","DOT","ETFZ-0000-0268","074570984770","","Each","Haagen-Dazs Chocolate &amp; Dark Chocolate Ice Cream Bar, 3.67 oz. Bar (1-12 Case)","Haagen-Dazs Chocolate &amp; Dark Chocolate Ice Cream Bar, 3.67 oz. Bar (1-12 Case)","0.219","2.25","6.5","1.45","Haagen-Dazs Chocolate &amp; Dark Chocola","te Ice Cream Bar, 3.67 oz. Bar (1-12 Case)"
"Frozen","Haagen-Dazs","DOT","ETFZ-0000-0269","10074570651679","","Each","Haagen-Dazs Chocolate Peanut Butter Ice Cream, 3.6 oz. Cup (1-12 Case)","Haagen-Dazs Chocolate Peanut Butter Ice Cream, 3.6 oz. Cup (1-12 Case)","0.225","2.7","2.7","2.4","Haagen-Dazs Chocolate Peanut Butter Ice ","Cream, 3.6 oz. Cup (1-12 Case)"
"Frozen","Haagen-Dazs","DOT","ETFZ-0000-0270","074570470297","","Each","Haagen-Dazs Vanilla Milk Chocolate Ice Cream Bar, 3 oz. Bar (1-12 Case)","Haagen-Dazs Vanilla Milk Chocolate Ice Cream Bar, 3 oz. Bar (1-12 Case)","0.562","1.44","6.88","6.5","Haagen-Dazs Vanilla Milk Chocolate Ice C","ream Bar, 3 oz. Bar (1-12 Case)"
"Frozen","Haagen-Dazs","DOT","ETFZ-0000-0271","074570208821","","Each","Haagen-Dazs Vanilla with Almonds Ice Cream Bar, 3.67 oz. Bar (1-12 Case)","Haagen-Dazs Vanilla with Almonds Ice Cream Bar, 3.67 oz. Bar (1-12 Case)","0.66","7.7","1.65","6.55","Haagen-Dazs Vanilla with Almonds Ice Cre","am Bar, 3.67 oz. Bar (1-12 Case)"
"Frozen","Haagen-Dazs","DOT","ETFZ-0000-0272","10074570651686","","Each","Haagen-Dazs Caramel Cone Ice Cream, 3.6 oz. Cup (1-12 Case)","Haagen-Dazs Caramel Cone Ice Cream, 3.6 oz. Cup (1-12 Case)","0.225","999","999","999","Haagen-Dazs Caramel Cone Ice Cream, 3.6 ","oz. Cup (1-12 Case)"
"Frozen","Haagen-Dazs","DOT","ETFZ-0000-0273","074570412709","","Each","Haagen-Dazs Coffee Almond Crunch Ice Cream Bar, 3.67 oz. Bar (1-12 Case)","Haagen-Dazs Coffee Almond Crunch Ice Cream Bar, 3.67 oz. Bar (1-12 Case)","999","999","999","999","Haagen-Dazs Coffee Almond Crunch Ice Cre","am Bar, 3.67 oz. Bar (1-12 Case)"
"Frozen","Sour Patch Kids","DOT","ETFZ-0000-0274","072554242977","","Each","Sour Patch Kids Sour Patch Redberry Ice Cream Bar, 3 oz. Bar (1-24 Case)","Sour Patch Kids Sour Patch Redberry Ice Cream Bar, 3 oz. Bar (1-24 Case)","0.2","999","999","999","Sour Patch Kids Sour Patch Redberry Ice ","Cream Bar, 3 oz. Bar (1-24 Case)"
"Frozen","Nestle","Dreyers","ETFZ-0000-0275","072554961588","","Each","Nestle Mickey Mouse Ice Cream Bar, 3 oz. Bar (1-24 Case)","Nestle Mickey Mouse Ice Cream Bar, 3 oz. Bar (1-24 Case)","999","999","999","999","Nestle Mickey Mouse Ice Cream Bar, 3 oz."," Bar (1-24 Case)"
"Frozen","Nestle","Dreyers","ETFZ-0000-0276","072554156168","","Each","Nestle Butterfinger Frozen Dairy Dessert, 4 fl. oz. Cup (1-12 Case)","Nestle Butterfinger Frozen Dairy Dessert, 4 fl. oz. Cup (1-12 Case)","999","3.5","3.5","3.9","Nestle Butterfinger Frozen Dairy Dessert",", 4 fl. oz. Cup (1-12 Case)"
"Frozen","Butterfinger","Dreyers","ETFZ-0000-0277","10072554110730","","Each","Butterfinger Butterfinger Candy Bar, 1.9 oz. King Size Bar (1-24 Case)","Butterfinger Butterfinger Candy Bar, 1.9 oz. King Size Bar (1-24 Case)","999","999","999","999","Butterfinger Butterfinger Candy Bar, 1.9"," oz. King Size Bar (1-24 Case)"
"Frozen","Nestle","Dreyers","ETFZ-0000-0278","10072554111508","","Each","Nestle Cookies N' Cream Frozen Dairy Dessert, 3 fl. oz. Bar (1-6 Pack)","Nestle Cookies N' Cream Frozen Dairy Dessert, 3 fl. oz. Bar (1-6 Pack)","0.15","1","7.5","3","Nestle Cookies N' Cream Frozen Dairy Des","sert, 3 fl. oz. Bar (1-6 Pack)"
"Frozen","Nestle","Dreyers","ETFZ-0000-0279","10072554111560","","Each","Nestle Crunch Bar, 1.55 oz. Bar (1-36 Case)","Nestle Crunch Bar, 1.55 oz. Bar (1-36 Case)","999","9.5","3.5","6.5","Nestle Crunch Bar, 1.55 oz. Bar (1-36 Ca","se)"
"Frozen","Nestle","Dreyers","ETFZ-0000-0280","10041548825530","","Each","Nestle Dibs Vanilla with Crunch Coating Ice Cream, 4 oz. Cup (1-12 Case)","Nestle Dibs Vanilla with Crunch Coating Ice Cream, 4 oz. Cup (1-12 Case)","999","14.3","10.8","4.3","Nestle Dibs Vanilla with Crunch Coating ","Ice Cream, 4 oz. Cup (1-12 Case)"
"Frozen","Nestle","DOT","ETFZ-0000-0281","041548405490","","Each","Nestle Dibs Vanilla with Crunch Coating Ice Cream, 4 oz. Cup (1-16 Case)","Nestle Dibs Vanilla with Crunch Coating Ice Cream, 4 oz. Cup (1-16 Case)","0.25","14.3","10.8","4.3","Nestle Dibs Vanilla with Crunch Coating ","Ice Cream, 4 oz. Cup (1-16 Case)"
"Frozen","Nestle","Dreyers","ETFZ-0000-0282","10072554218900","","Each","Nestle Drumstick Triple Chocolate Ice Cream Cone, 7 oz. King Size Bar (1-5 Case)","Nestle Drumstick Triple Chocolate Ice Cream Cone, 7 oz. King Size Bar (1-5 Case)","999","999","999","999","Nestle Drumstick Triple Chocolate Ice Cr","eam Cone, 7 oz. King Size Bar (1-5 Case)"
"Frozen","Nestle","Dreyers","ETFZ-0000-0283","10072554218603","","Each","Nestle Drumstick Vanilla and Chocolate Ice Cream Cone, 7.5 fl. oz. King Size Bar (1-12 Case)","Nestle Drumstick Vanilla and Chocolate Ice Cream Cone, 7.5 fl. oz. King Size Bar (1-12 Case)","0.438","7.75","3","3","Nestle Drumstick Vanilla and Chocolate I","ce Cream Cone, 7.5 fl. oz. King Size Bar (1-12 Case)"
"Frozen","Nestle","Dreyers","ETFZ-0000-0284","10028000065819","","Each","Nestle Strawberry Shortcake Ice Cream Bar, 3.5 fl. oz. King Size Bar (1-24 Case)","Nestle Strawberry Shortcake Ice Cream Bar, 3.5 fl. oz. King Size Bar (1-24 Case)","0.2","6.88","2","1","Nestle Strawberry Shortcake Ice Cream Ba","r, 3.5 fl. oz. King Size Bar (1-24 Case)"
"Frozen","Nestle","DOT","ETFZ-0000-0285","999123456789","","Each","Nestle Vanilla Frozen Dessert, 6 oz. King Size Bar (3-24 Case)","Nestle Vanilla Frozen Dessert, 6 oz. King Size Bar (3-24 Case)","999","4","10.5","7.87","Nestle Vanilla Frozen Dessert, 6 oz. Kin","g Size Bar (3-24 Case)"
"Frozen","Nestle","DOT","ETFZ-0000-0286","072554581120","","Each","Nestle Orange Cream Frozen Dairy Dessert, 3 oz. Bar (1-24 Case)","Nestle Orange Cream Frozen Dairy Dessert, 3 oz. Bar (1-24 Case)","0.162","1","7.5","3","Nestle Orange Cream Frozen Dairy Dessert",", 3 oz. Bar (1-24 Case)"
"Frozen","Nestle","DOT","ETFZ-0000-0287","072554328022","","Each","Nestle Wonka Push-Up Orange Frozen Dairy Dessert, 2.75 oz. Bar (1-24 Case)","Nestle Wonka Push-Up Orange Frozen Dairy Dessert, 2.75 oz. Bar (1-24 Case)","0.115","5.45","2","2","Nestle Wonka Push-Up Orange Frozen Dairy"," Dessert, 2.75 oz. Bar (1-24 Case)"
"Frozen","Nestle","DOT","ETFZ-0000-0288","10050000235008","","Each","Nestle Toll House Chocolate Chip Cookie Ice Cream, 6 oz. Bar (1-12 Case)","Nestle Toll House Chocolate Chip Cookie Ice Cream, 6 oz. Bar (1-12 Case)","0.2","3.65","3.65","1.55","Nestle Toll House Chocolate Chip Cookie ","Ice Cream, 6 oz. Bar (1-12 Case)"
"Frozen","Outshine","Dreyers","ETFZ-0000-0289","041548171302","","Each","Outshine Strawberry Ice Cream Bar, 4 oz. Bar (1-12 Case)","Outshine Strawberry Ice Cream Bar, 4 oz. Bar (1-12 Case)","2.271","9","2.5","7.25","Outshine Strawberry Ice Cream Bar, 4 oz."," Bar (1-12 Case)"
"Frozen","Outshine","Dreyers","ETFZ-0000-0290","041548228280","","Each","Outshine Coconut Ice Cream Bar, 4 oz. Bar (1-6 Case)","Outshine Coconut Ice Cream Bar, 4 oz. Bar (1-6 Case)","1.3","7.1","6.3","3.2","Outshine Coconut Ice Cream Bar, 4 oz. Ba","r (1-6 Case)"
"Dry","BarkThins","Hershey","ETDP-0000-0293","859686004006","","Each","BarkThins Dark Chocolate Almond with Sea Salt Chocolate Chips, 4.7 oz. Bag (1-12 Case)","BarkThins Dark Chocolate Almond with Sea Salt Chocolate Chips, 4.7 oz. Bag (1-12 Case)","0312","2.62","5.88","8","BarkThins Dark Chocolate Almond with Sea"," Salt Chocolate Chips, 4.7 oz. Bag (1-12 Case)"
"Dry","BarkThins","Hershey","ETDP-0000-0294","859686004174","","Each","BarkThins Dark Chocolate Coconut with Almonds Chocolate Chips, 4.7 oz. Bag (1-12 Case)","BarkThins Dark Chocolate Coconut with Almonds Chocolate Chips, 4.7 oz. Bag (1-12 Case)","0.29","2.1","6","7.95","BarkThins Dark Chocolate Coconut with Al","monds Chocolate Chips, 4.7 oz. Bag (1-12 Case)"
"Dry","BarkThins","Hershey","ETDP-0000-0295","859686004013","","Each","BarkThins Dark Chocolate Pretzel with Sea Salt Chocolate Chips, 4.7 oz. Bag (1-12 Case)","BarkThins Dark Chocolate Pretzel with Sea Salt Chocolate Chips, 4.7 oz. Bag (1-12 Case)","0.29","15.75","7.48","8.66","BarkThins Dark Chocolate Pretzel with Se","a Salt Chocolate Chips, 4.7 oz. Bag (1-12 Case)"
"Dry","Heath Bar","Hershey","ETDP-0000-0300","010700061478","","Each","Heath Bar English Toffee Milk Chocolate Candy Bar, 1.4 oz. Box (24-18 Case)","Heath Bar English Toffee Milk Chocolate Candy Bar, 1.4 oz. Box (24-18 Case)","0.09","6.54","2.76","1.63","Heath Bar English Toffee Milk Chocolate ","Candy Bar, 1.4 oz. Box (24-18 Case)"
"Dry","Hershey's","Hershey","ETDP-0000-0303","034000134106","","Each","Hershey's Kisses Milk Chocolate Candy Bar, 5.3 oz. Bag (1-12 Case)","Hershey's Kisses Milk Chocolate Candy Bar, 5.3 oz. Bag (1-12 Case)","0.33","0.94","4.94","6.84","Hershey's Kisses Milk Chocolate Candy Ba","r, 5.3 oz. Bag (1-12 Case)"
"Dry","Hershey's","Hershey","ETDP-0000-0304","034000221004","","Each","Hershey's Milk Chocolate with Almonds Chocolate Candy Bar, 2.6 oz. Box (12-18 Case)","Hershey's Milk Chocolate with Almonds Chocolate Candy Bar, 2.6 oz. Box (12-18 Case)","0.16","0.4","5.83","2.05","Hershey's Milk Chocolate with Almonds Ch","ocolate Candy Bar, 2.6 oz. Box (12-18 Case)"
