"Item Type","Brand/Manufacture","Vendor","SKU","UPC","Case Barcode","Unit Description","Fullname","Pick Name","Unit Weight(lbs)","Length(in)","Width(in)","Height(in)","Item Description","Additional Description"
"Frozen","Ben & Jerry's","Unilever","ETFZ-0000-0446","007684000290","","Each","Ben & Jerry's Americone Dream Non- Dairy Frozen Dessert, 16 oz. Pint (1-8 Case)","Ben & Jerry's Americone Dream Non- Dairy Frozen Dessert, 16 oz. Pint (1-8 Case)","8.45","14.75","7.25","4.11","Ben & Jerry's Americone Dream Non- Dairy"," Frozen Dessert, 16 oz. Pint (1-8 Case)"
"Frozen","Ben & Jerry's","Unilever","ETFZ-0000-0462","007684055194","","Each","Ben & Jerry's Cookies & Cream Cheesecake Core Ice Cream, 16 oz. Pint (1-8 Case)","Ben & Jerry's Cookies & Cream Cheesecake Core Ice Cream, 16 oz. Pint (1-8 Case)","8.45","14.75","7.25","4.11","Ben & Jerry's Cookies & Cream Cheesecake"," Core Ice Cream, 16 oz. Pint (1-8 Case)"
"Frozen","Ben & Jerry's","DOT","ETFZ-0000-0512","007684000289","","Each","Ben & Jerry's Non - Dairy Karamel Sutra Core Frozen Dessert, 16 oz. Pint (1-8 Case)","Ben & Jerry's Non - Dairy Karamel Sutra Core Frozen Dessert, 16 oz. Pint (1-8 Case)","8.45","14.75","7.25","4.11","Ben & Jerry's Non - Dairy Karamel Sutra ","Core Frozen Dessert, 16 oz. Pint (1-8 Case)"
"Frozen","Ben & Jerry's","Unilever","ETFZ-0000-0514","007684000256","","Each","Ben & Jerry's Non  Dairy Netflix & Chilll'd Frozen Dessert, 16 oz. Pint (1-8 Case)","Ben & Jerry's Non  Dairy Netflix & Chilll'd Frozen Dessert, 16 oz. Pint (1-8 Case)","8.45","14.75","7.25","4.11","Ben & Jerry's Non  Dairy Netflix & Chill","l'd Frozen Dessert, 16 oz. Pint (1-8 Case)"
"Frozen","Ben & Jerry's","Unilever","ETFZ-0000-0518","007684000066","","Each","Ben & Jerry's Non - Dairy Peanut Butter Half Baked Frozen Dessert, 16 oz. Pint (1-8 Case)","Ben & Jerry's Non - Dairy Peanut Butter Half Baked Frozen Dessert, 16 oz. Pint (1-8 Case)","8.41","14.75","7.25","4.11","Ben & Jerry's Non - Dairy Peanut Butter ","Half Baked Frozen Dessert, 16 oz. Pint (1-8 Case)"
"Frozen","Castle Wood Reserve","DOT","ETFZ-0000-0455","642205012630","","Each","Castle Wood Reserve Wood Reserve Snacking Kit Genoa Salami Provolone  Chocolate Covered Pretzels Cheese, 2.5 oz. Box (1-12 Case)","Castle Wood Reserve Wood Reserve Snacking Kit Genoa Salami Provolone  Chocolate Covered Pretzels Cheese, 2.5 oz. Box (1-12 Case)","2.82","16.25","7.125","4.75","Castle Wood Reserve Wood Reserve Snackin","g Kit Genoa Salami Provolone  Chocolate Covered Pretzels Cheese, 2.5 oz. Box (1-12 Case)"
"Frozen","Italian Rose","DOT","ETFZ-0000-2980","077718200411","","Each","Italian Rose GARLIC & Water, 40  Box (1-1 Each)","Italian Rose GARLIC & Water, 40  Box (1-1 Each)","0.25","5.25","5.25","1.63","Italian Rose GARLIC & Water, 40  Box (1-","1 Each)"
"Frozen","Marzetti","DOT","ETFZ-0000-2981","070200504254","","Each","Marzetti MARZETTI  RANCH Dressing, 13  Box (1-12 Case)","Marzetti MARZETTI  RANCH Dressing, 13  Box (1-12 Case)","17.693","11.375","8.625","6.5","Marzetti MARZETTI  RANCH Dressing, 13  B","ox (1-12 Case)"
"Frozen","Seviroli Foods","DOT","ETFZ-0000-2985","074847742164","","Each","Seviroli Foods RAVIOLI LARGE ROUND BEEF Pasta, 5  Box (1-2 Case)","Seviroli Foods RAVIOLI LARGE ROUND BEEF Pasta, 5  Box (1-2 Case)","10","13.25","6.75","10","Seviroli Foods RAVIOLI LARGE ROUND BEEF ","Pasta, 5  Box (1-2 Case)"
"Frozen","Seviroli Foods","DOT","ETFZ-0000-2987","074847000172","","Each","Seviroli Foods PASTA RAVIOLI SQUARE  LARGE Cheese, 5  Box (1-2 Case)","Seviroli Foods PASTA RAVIOLI SQUARE  LARGE Cheese, 5  Box (1-2 Case)","10","13.25","10","6.75","Seviroli Foods PASTA RAVIOLI SQUARE  LAR","GE Cheese, 5  Box (1-2 Case)"
