"Item Type","Brand/Manufacture","Vendor","SKU","UPC","Case Barcode","Unit Description","Fullname","Pick Name","Unit Weight(lbs)","Length(in)","Width(in)","Height(in)","Item Description","Additional Description"
"Dry","Oatly!","Oatly","ETDF-1000-5993","190646630979","","Each","Oatly! Vanilla Package Flat, 1 oz. Carton (1-1 Each)","Oatly! Vanilla Package Flat, 1 oz. Carton (1-1 Each)","0.1","6.81","0.02","6.44","Oatly! Vanilla Package Flat, 1 oz. Carto","n (1-1 Each)"
"Dry","Oatly!","Oatly","ETDF-1000-5996","190646630949","","Each","Oatly! Salted Caramel Package Flat, 0.1 oz. Carton (1-1 Each)","Oatly! Salted Caramel Package Flat, 0.1 oz. Carton (1-1 Each)","0.1","6.81","0.02","6.44","Oatly! Salted Caramel Package Flat, 0.1 ","oz. Carton (1-1 Each)"
"Dry","Oatly!","Oatly","ETDF-1000-5995","190646630969","","Each","Oatly! Chocolate Fudge Package Flat, 0.1 oz. Carton (1-1 Each)","Oatly! Chocolate Fudge Package Flat, 0.1 oz. Carton (1-1 Each)","0.1","6.81","0.02","6.44","Oatly! Chocolate Fudge Package Flat, 0.1"," oz. Carton (1-1 Each)"
"Dry","Oatly!","Oatly","ETDF-1000-5997","190646630926","","Each","Oatly! Strawberry Swirl Package Flat, 0.1 oz. Carton (1-1 Each)","Oatly! Strawberry Swirl Package Flat, 0.1 oz. Carton (1-1 Each)","0.1","6.81","0.02","6.44","Oatly! Strawberry Swirl Package Flat, 0.","1 oz. Carton (1-1 Each)"
"Frozen","Baskin-Robbins","Boardwalk Frozen Treats","ETFZ-1000-6006","852455005815","","Each","Baskin-Robbins Baseball Nut Ice Cream, 14 oz. Container (1-8 Case)","Baskin-Robbins Baseball Nut Ice Cream, 14 oz. Container (1-8 Case)","5.5","14.25","7.5","4.06","Baskin-Robbins Baseball Nut Ice Cream, 1","4 oz. Container (1-8 Case)"
"Frozen","Baskin-Robbins","Boardwalk Frozen Treats","ETFZ-1000-6007","852455005808","","Each","Baskin-Robbins Triple Mango Ice Cream, 14 oz. Container (1-8 Case)","Baskin-Robbins Triple Mango Ice Cream, 14 oz. Container (1-8 Case)","5.5","14.25","7.5","4.06","Baskin-Robbins Triple Mango Ice Cream, 1","4 oz. Container (1-8 Case)"
"Frozen","Fairlife","Boardwalk Frozen Treats","ETFZ-1000-6008","852455005785","","Each","Fairlife Butter Pecan Ice Cream, 14 oz. Container (1-8 Case)","Fairlife Butter Pecan Ice Cream, 14 oz. Container (1-8 Case)","5.4","14.25","7.5","4.06","Fairlife Butter Pecan Ice Cream, 14 oz. ","Container (1-8 Case)"
"Frozen","Fairlife","Boardwalk Frozen Treats","ETFZ-1000-6010","852455005778","","Each","Fairlife Cookie Dough Ice Cream, 14 oz. Carton (1-8 Case)","Fairlife Cookie Dough Ice Cream, 14 oz. Carton (1-8 Case)","5.4","14.25","7.5","4.06","Fairlife Cookie Dough Ice Cream, 14 oz. ","Carton (1-8 Case)"
