"Item Type","Brand/Manufacture","Vendor","SKU","UPC","Case Barcode","Unit Description","Fullname","Pick Name","Unit Weight(lbs)","Length(in)","Width(in)","Height(in)","Item Description","Additional Description"
"Frozen","Nick's","","ETFZ-1000-6182","","","Each","Nick's Triple Choklad Variety Pack (6 Kit)","Nick's Triple Choklad Variety Pack (6 Kit)","6","12.5","9.75","4.25","Nick's Triple Choklad Variety Pack (6 Ki","t)"
"Dry","Oatly!","Oatly","ETDP-1000-6212","190646640016","","Each","Oatly! Barista Edition AM EDGE Oat Milk, 32 oz. Carton (12-1 Case)","Oatly! Barista Edition AM EDGE Oat Milk, 32 oz. Carton (12-1 Case)","28","11.95","9.37","8.99","Oatly! Barista Edition AM EDGE Oat Milk,"," 32 oz. Carton (12-1 Case)"
"Dry","Oatly!","Oatly","ETDP-1000-6217","190646640019","","Each","Oatly! Barista Edition AM EDGE Oat Milk, 32 oz. Carton (1-1 Each)","Oatly! Barista Edition AM EDGE Oat Milk, 32 oz. Carton (1-1 Each)","2.24","2.97","2.97","8.5","Oatly! Barista Edition AM EDGE Oat Milk,"," 32 oz. Carton (1-1 Each)"
"Dry","Oatly!","Oatly","ETDP-1000-6218","190646640023","","Each","Oatly! Original AM EDGE Oat Milk, 32 oz. Carton (12-1 Case)","Oatly! Original AM EDGE Oat Milk, 32 oz. Carton (12-1 Case)","28","11.95","9.37","8.99","Oatly! Original AM EDGE Oat Milk, 32 oz."," Carton (12-1 Case)"
"Dry","Oatly!","Oatly","ETDP-1000-6219","190646640026","","Each","Oatly! Original AM EDGE Oat Milk, 32 oz. Carton (1-1 Each)","Oatly! Original AM EDGE Oat Milk, 32 oz. Carton (1-1 Each)","2.24","2.97","2.97","8.5","Oatly! Original AM EDGE Oat Milk, 32 oz."," Carton (1-1 Each)"
"Dry","Oatly!","Oatly","ETDP-1000-6220","190646640030","","Each","Oatly! Low Fat AM EDGE Oat Milk, 32 oz. Carton (12-1 Case)","Oatly! Low Fat AM EDGE Oat Milk, 32 oz. Carton (12-1 Case)","28","11.95","9.37","8.99","Oatly! Low Fat AM EDGE Oat Milk, 32 oz. ","Carton (12-1 Case)"
"Dry","Oatly!","Oatly","ETDP-1000-6221","190646640033","","Each","Oatly! Low Fat AM EDGE Oat Milk, 32 oz. Carton (1-1 Each)","Oatly! Low Fat AM EDGE Oat Milk, 32 oz. Carton (1-1 Each)","2.24","2.97","2.97","8.5","Oatly! Low Fat AM EDGE Oat Milk, 32 oz. ","Carton (1-1 Each)"
"Dry","Oatly!","Oatly","ETDP-1000-6222","190646630116","","Each","Oatly! Chocolate AM EDGE Oat Milk, 32 oz. Carton (12-1 Case)","Oatly! Chocolate AM EDGE Oat Milk, 32 oz. Carton (12-1 Case)","28","11.95","9.37","8.99","Oatly! Chocolate AM EDGE Oat Milk, 32 oz",". Carton (12-1 Case)"
"Dry","Oatly!","Oatly","ETDP-1000-6223","190646630119","","Each","Oatly! Chocolate AM EDGE Oat Milk, 32 oz. Carton (1-1 Each)","Oatly! Chocolate AM EDGE Oat Milk, 32 oz. Carton (1-1 Each)","2.24","2.97","2.97","8.5","Oatly! Chocolate AM EDGE Oat Milk, 32 oz",". Carton (1-1 Each)"
