"Item Type","Brand/Manufacture","Vendor","SKU","UPC","Case Barcode","Unit Description","Fullname","Pick Name","Unit Weight(lbs)","Length(in)","Width(in)","Height(in)","Item Description","Additional Description"
"Dry","Oatly!","Oatly","ETDF-1000-5993","190646630979","","Each","Oatly! Vanilla Package Flat, 0.1 oz. Carton (1-1 Each)","Oatly! Vanilla Package Flat, 0.1 oz. Carton (1-1 Each)","0.1","6.81","0.02","6.44","Oatly! Vanilla Package Flat, 0.1 oz. Car","ton (1-1 Each)"
"Frozen","CHOMP by Nightingale","Nightingale Ice Cream","ETFZ-1000-6019","850037507108","","Each","CHOMP by Nightingale Salted Caramel Sandwich, 11.75 oz. Individually Wrapped (1-1 Each)","CHOMP by Nightingale Salted Caramel Sandwich, 11.75 oz. Individually Wrapped (1-1 Each)","0.734","5.25","1.88","5.25","CHOMP by Nightingale Salted Caramel Sand","wich, 11.75 oz. Individually Wrapped (1-1 Each)"
"Frozen","CHOMP by Nightingale","Nightingale Ice Cream","ETFZ-1000-6021","850037507092","","Each","CHOMP by Nightingale Mint Chocolate Chip Sandwich, 11.75 oz. Individually Wrapped (1-1 Each)","CHOMP by Nightingale Mint Chocolate Chip Sandwich, 11.75 oz. Individually Wrapped (1-1 Each)","0.734","5.25","1.88","5.25","CHOMP by Nightingale Mint Chocolate Chip"," Sandwich, 11.75 oz. Individually Wrapped (1-1 Each)"
