"Item Type","Brand/Manufacture","Vendor","SKU","UPC","Case Barcode","Unit Description","Fullname","Pick Name","Unit Weight(lbs)","Length(in)","Width(in)","Height(in)","Item Description","Additional Description"
"Frozen","McConnell's","McConnell's Fine Ice Creams","ETFZ-1000-6186","075209824979","","Each","McConnell's Dark Chocolate Chips & Nibs Ice Cream, 16 oz. Pint (1-8 Case)","McConnell's Dark Chocolate Chips & Nibs Ice Cream, 16 oz. Pint (1-8 Case)","7","15.52","7.76","3.88","McConnell's Dark Chocolate Chips & Nibs ","Ice Cream, 16 oz. Pint (1-8 Case)"
"Frozen","McConnell's","McConnell's Fine Ice Creams","ETFZ-1000-6193","075209827352","","Each","McConnell's Dark Chocolate Chips & Nibs Ice Cream, 16 oz. Pint (1-1 Each)","McConnell's Dark Chocolate Chips & Nibs Ice Cream, 16 oz. Pint (1-1 Each)","0.875","3.88","3.88","4","McConnell's Dark Chocolate Chips & Nibs ","Ice Cream, 16 oz. Pint (1-1 Each)"
"Frozen","The Frozen Farmer","The Frozen Farmer","ETFZ-1000-6192","850023398045","","Each","The Frozen Farmer Strawberry Cheesecake Frobert Ice Cream, 16 oz. Pint (1-8 Case)","The Frozen Farmer Strawberry Cheesecake Frobert Ice Cream, 16 oz. Pint (1-8 Case)","6.56","14","7.5","4.13","The Frozen Farmer Strawberry Cheesecake ","Frobert Ice Cream, 16 oz. Pint (1-8 Case)"
"Frozen","The Frozen Farmer","The Frozen Farmer","ETFZ-1000-6194","850023398048","","Each","The Frozen Farmer Strawberry Cheesecake Frobert Ice Cream, 16 oz. Pint (1-1 Each)","The Frozen Farmer Strawberry Cheesecake Frobert Ice Cream, 16 oz. Pint (1-1 Each)","0.82","3.88","3.88","4.13","The Frozen Farmer Strawberry Cheesecake ","Frobert Ice Cream, 16 oz. Pint (1-1 Each)"
