"Item Type","Brand/Manufacture","Vendor","SKU","UPC","Case Barcode","Unit Description","Fullname","Pick Name","Unit Weight(lbs)","Length(in)","Width(in)","Height(in)","Item Description","Additional Description"
"Frozen","ACE Bakery","Badger Liquor","ETFZ-1000-5978","456565464564","","Each","ACE Bakery  Almonds, 3 in Blister Pack (2-2 Each)","ACE Bakery  Almonds, 3 in Blister Pack (2-2 Each)","3","3","3","3","ACE Bakery  Almonds, 3 in Blister Pack (","2-2 Each)"
"Frozen","J.D.’s Vegan","Barkulis","ETFZ-1000-5979","850029301158","","Each","J.D.’s Vegan Apple Butter Ice Cream, 14 oz. Pint (1-4 Pack)","J.D.’s Vegan Apple Butter Ice Cream, 14 oz. Pint (1-4 Pack)","4","7","8","4","J.D.’s Vegan Apple Butter Ice Cream, 1","4 oz. Pint (1-4 Pack)"
"Frozen","J.D.’s Vegan","J.D.'s Vegan Ice Cream","ETFZ-1000-5981","850029301165","","Each","J.D.’s Vegan Welcome to Atlanta Peach Cobbler Ice Cream, 14 oz. Pint (1-4 Pack)","J.D.’s Vegan Welcome to Atlanta Peach Cobbler Ice Cream, 14 oz. Pint (1-4 Pack)","4","7","8","4","J.D.’s Vegan Welcome to Atlanta Peach ","Cobbler Ice Cream, 14 oz. Pint (1-4 Pack)"
"Frozen","J.D.’s Vegan","J.D.'s Vegan Ice Cream","ETFZ-1000-5984","850029301172","","Each","J.D.’s Vegan Strawberry Sweetheart Ice Cream, 14 oz. Pint (1-4 Pack)","J.D.’s Vegan Strawberry Sweetheart Ice Cream, 14 oz. Pint (1-4 Pack)","4","7","8","4","J.D.’s Vegan Strawberry Sweetheart Ice"," Cream, 14 oz. Pint (1-4 Pack)"
