"Item Type","Brand/Manufacture","Vendor","SKU","UPC","Case Barcode","Unit Description","Fullname","Pick Name","Unit Weight(lbs)","Length(in)","Width(in)","Height(in)","Item Description","Additional Description"
"Frozen","Little Debbie","Dreyers","ETFZ-1000-6102","850034580057","","Each","Little Debbie Strawberry Shortcake Rolls Ice Cream, 16 oz. Pint (1-8 Case)","Little Debbie Strawberry Shortcake Rolls Ice Cream, 16 oz. Pint (1-8 Case)","5.5","14","7.5","4.13","Little Debbie Strawberry Shortcake Rolls"," Ice Cream, 16 oz. Pint (1-8 Case)"
"Frozen","Little Debbie","Dreyers","ETFZ-1000-6123","850034580071","","Each","Little Debbie Zebra Cakes Ice Cream, 16 oz. Pint (1-8 Case)","Little Debbie Zebra Cakes Ice Cream, 16 oz. Pint (1-8 Case)","5.5","14","7.5","4.13","Little Debbie Zebra Cakes Ice Cream, 16 ","oz. Pint (1-8 Case)"
"Frozen","Nick's","Sweetie Pies","ETFZ-1000-6101","850009682137","","Each","Nick's Birthdäg Cake Ice Cream, 16 oz. Pint (1-8 Case)","Nick's Birthdäg Cake Ice Cream, 16 oz. Pint (1-8 Case)","5.25","12.5","9.75","4.25","Nick's Birthdäg Cake Ice Cream, 16 oz. ","Pint (1-8 Case)"
"Frozen","Nick's","Sweetie Pies","ETFZ-1000-6109","850009682014","","Each","Nick's Butter Pekan Ice Cream, 16 oz. Pint (1-8 Case)","Nick's Butter Pekan Ice Cream, 16 oz. Pint (1-8 Case)","5.25","12.5","9.75","4.25","Nick's Butter Pekan Ice Cream, 16 oz. Pi","nt (1-8 Case)"
"Frozen","Nick's","Sweetie Pies","ETFZ-1000-6110","850009682113","","Each","Nick's Cherry Choka-fläka Ice Cream, 16 oz. Pint (1-8 Case)","Nick's Cherry Choka-fläka Ice Cream, 16 oz. Pint (1-8 Case)","5.25","12.5","9.75","4.25","Nick's Cherry Choka-fläka Ice Cream, 16"," oz. Pint (1-8 Case)"
"Frozen","Nick's","Sweetie Pies","ETFZ-1000-6111","850009682021","","Each","Nick's Coffee Karamell Ice Cream, 16 oz. Pint (1-8 Case)","Nick's Coffee Karamell Ice Cream, 16 oz. Pint (1-8 Case)","5.25","12.5","9.75","4.25","Nick's Coffee Karamell Ice Cream, 16 oz."," Pint (1-8 Case)"
"Frozen","Nick's","Sweetie Pies","ETFZ-1000-6112","850009682120","","Each","Nick's Cookies And Kräm Ice Cream, 16 oz. Pint (1-8 Case)","Nick's Cookies And Kräm Ice Cream, 16 oz. Pint (1-8 Case)","5.25","12.5","9.75","4.25","Nick's Cookies And Kräm Ice Cream, 16 o","z. Pint (1-8 Case)"
"Frozen","Nick's","Sweetie Pies","ETFZ-1000-6113","850009682045","","Each","Nick's Mint Chokladchip Ice Cream, 16 oz. Pint (1-8 Case)","Nick's Mint Chokladchip Ice Cream, 16 oz. Pint (1-8 Case)","5.25","12.5","9.75","4.25","Nick's Mint Chokladchip Ice Cream, 16 oz",". Pint (1-8 Case)"
"Frozen","Nick's","Sweetie Pies","ETFZ-1000-6114","850009682151","","Each","Nick's Peanöt Choklad Cup Ice Cream, 16 oz. Pint (1-8 Case)","Nick's Peanöt Choklad Cup Ice Cream, 16 oz. Pint (1-8 Case)","5.25","12.5","9.75","4.25","Nick's Peanöt Choklad Cup Ice Cream, 16"," oz. Pint (1-8 Case)"
"Frozen","Nick's","Sweetie Pies","ETFZ-1000-6115","850009682076","","Each","Nick's Peanöt Butter Karamell Ice Cream, 16 oz. Pint (1-8 Case)","Nick's Peanöt Butter Karamell Ice Cream, 16 oz. Pint (1-8 Case)","5.25","12.5","9.75","4.25","Nick's Peanöt Butter Karamell Ice Cream",", 16 oz. Pint (1-8 Case)"
"Frozen","Nick's","Sweetie Pies","ETFZ-1000-6116","850009682106","","Each","Nick's Strawbär Swirl Ice Cream, 16 oz. Pint (1-8 Case)","Nick's Strawbär Swirl Ice Cream, 16 oz. Pint (1-8 Case)","5.25","12.5","9.75","4.25","Nick's Strawbär Swirl Ice Cream, 16 oz."," Pint (1-8 Case)"
"Frozen","Nick's","Sweetie Pies","ETFZ-1000-6117","850009682038","","Each","Nick's Swedish Choklad Ice Cream, 16 oz. Pint (1-8 Case)","Nick's Swedish Choklad Ice Cream, 16 oz. Pint (1-8 Case)","5.25","12.5","9.75","4.25","Nick's Swedish Choklad Ice Cream, 16 oz."," Pint (1-8 Case)"
"Frozen","Nick's","Sweetie Pies","ETFZ-1000-6118","850009682069","","Each","Nick's Chokladchip Dough Ice Cream, 16 oz. Pint (1-8 Case)","Nick's Chokladchip Dough Ice Cream, 16 oz. Pint (1-8 Case)","5.25","12.5","9.75","4.25","Nick's Chokladchip Dough Ice Cream, 16 o","z. Pint (1-8 Case)"
"Frozen","Nick's","Sweetie Pies","ETFZ-1000-6119","850009682144","","Each","Nick's Swedish Lemon Bar Ice Cream, 16 oz. Pint (1-8 Case)","Nick's Swedish Lemon Bar Ice Cream, 16 oz. Pint (1-8 Case)","5.25","12.5","9.75","4.25","Nick's Swedish Lemon Bar Ice Cream, 16 o","z. Pint (1-8 Case)"
"Frozen","Nick's","Sweetie Pies","ETFZ-1000-6120","850009682090","","Each","Nick's Swedish Pistasch Ice Cream, 16 oz. Pint (1-8 Case)","Nick's Swedish Pistasch Ice Cream, 16 oz. Pint (1-8 Case)","5.25","12.5","9.75","4.25","Nick's Swedish Pistasch Ice Cream, 16 oz",". Pint (1-8 Case)"
"Frozen","Nick's","Sweetie Pies","ETFZ-1000-6121","850009682007","","Each","Nick's Swedish Vanilj Ice Cream, 16 oz. Pint (1-8 Case)","Nick's Swedish Vanilj Ice Cream, 16 oz. Pint (1-8 Case)","5.25","12.5","9.75","4.25","Nick's Swedish Vanilj Ice Cream, 16 oz. ","Pint (1-8 Case)"
"Frozen","Nick's","Sweetie Pies","ETFZ-1000-6122","850009682083","","Each","Nick's Triple Choklad Ice Cream, 16 oz. Pint (1-8 Case)","Nick's Triple Choklad Ice Cream, 16 oz. Pint (1-8 Case)","5.25","12.5","9.75","4.25","Nick's Triple Choklad Ice Cream, 16 oz. ","Pint (1-8 Case)"
"Frozen","Little Debbie","Dreyers","ETFZ-1000-6125","850034580019","","Each","Little Debbie Cosmic Brownies Ice Cream, 16 oz. Pint (1-8 Case)","Little Debbie Cosmic Brownies Ice Cream, 16 oz. Pint (1-8 Case)","5.5","14","7.5","4.13","Little Debbie Cosmic Brownies Ice Cream,"," 16 oz. Pint (1-8 Case)"
"Frozen","Little Debbie","Dreyers","ETFZ-1000-6126","850034580064","","Each","Little Debbie Swiss Rolls Ice Cream, 16 oz. Pint (1-8 Case)","Little Debbie Swiss Rolls Ice Cream, 16 oz. Pint (1-8 Case)","5.5","14","7.5","4.13","Little Debbie Swiss Rolls Ice Cream, 16 ","oz. Pint (1-8 Case)"
